기업명,분기,변동성_일간,변동성_연율화,평균수익률,누적수익률,거래일수
한화생명,2023Q3,0.024568,0.39,0.001634,0.1013,62
한화생명,2023Q4,0.018815,0.2987,-0.000147,-0.0088,60
한화생명,2024Q1,0.031103,0.4937,0.000866,0.0528,61
한화생명,2024Q2,0.018741,0.2975,0.000943,0.0566,60
한화생명,2024Q3,0.022474,0.3568,-0.000715,-0.0443,62
한화생명,2024Q4,0.019522,0.3099,-0.002527,-0.1542,61
한화생명,2025Q1,0.019367,0.3074,0.000586,0.034,58
한화생명,2025Q2,0.022287,0.3538,0.004305,0.2583,60
한화생명,2025Q3,0.027988,0.4443,-0.000728,-0.0466,64
한화생명,2025Q4,0.020428,0.3243,0.000583,0.0344,59
삼성바이오로직스,2023Q1,0.01091,0.1732,-0.000792,-0.0483,61
삼성바이오로직스,2023Q2,0.010644,0.169,-0.000942,-0.0575,61
삼성바이오로직스,2023Q3,0.017304,0.2747,-0.001427,-0.0885,62
삼성바이오로직스,2023Q4,0.015528,0.2465,0.001829,0.1098,60
삼성바이오로직스,2024Q1,0.017899,0.2841,0.001464,0.0893,61
삼성바이오로직스,2024Q2,0.011601,0.1842,-0.002228,-0.1337,60
삼성바이오로직스,2024Q3,0.023773,0.3774,0.004767,0.2956,62
삼성바이오로직스,2024Q4,0.019913,0.3161,-0.000477,-0.0291,61
삼성바이오로직스,2025Q1,0.019549,0.3103,0.001142,0.0662,58
삼성바이오로직스,2025Q2,0.023326,0.3703,-0.000366,-0.0219,60
삼성바이오로직스,2025Q3,0.015503,0.2461,7.9e-05,0.005,64
삼성바이오로직스,2025Q4,0.022239,0.353,0.001703,0.1005,59
셀트리온,2023Q1,0.017295,0.2745,-0.00108,-0.0659,61
셀트리온,2023Q2,0.021413,0.3399,0.000336,0.0205,61
셀트리온,2023Q3,0.019233,0.3053,-0.001514,-0.0939,62
셀트리온,2023Q4,0.024961,0.3962,0.006209,0.3725,60
셀트리온,2024Q1,0.028513,0.4526,-0.00086,-0.0525,61
셀트리온,2024Q2,0.020237,0.3212,-0.001542,-0.0925,60
셀트리온,2024Q3,0.023353,0.3707,0.001843,0.1143,62
셀트리온,2024Q4,0.020756,0.3295,0.000188,0.0114,61
셀트리온,2025Q1,0.017562,0.2788,-0.001791,-0.1039,58
셀트리온,2025Q2,0.01909,0.303,-0.0003,-0.018,60
셀트리온,2025Q3,0.018778,0.2981,0.001296,0.0829,64
셀트리온,2025Q4,0.017272,0.2742,0.000798,0.0471,59
SK바이오팜,2023Q1,0.019922,0.3162,-0.001974,-0.1204,61
SK바이오팜,2023Q2,0.026621,0.4226,0.004022,0.2453,61
SK바이오팜,2023Q3,0.031119,0.494,0.001023,0.0635,62
SK바이오팜,2023Q4,0.023688,0.376,0.002542,0.1525,60
SK바이오팜,2024Q1,0.023488,0.3729,-0.001486,-0.0906,61
SK바이오팜,2024Q2,0.017861,0.2835,-0.002804,-0.1682,60
SK바이오팜,2024Q3,0.029187,0.4633,0.004744,0.2941,62
SK바이오팜,2024Q4,0.030209,0.4796,0.001083,0.066,61
SK바이오팜,2025Q1,0.030289,0.4808,-0.001936,-0.1123,58
